江西电信,#genre#
CCTV-风云剧场,http://175.8.182.214:7878/udp/239.76.254.50:9000
CCTV-怀旧剧场,http://175.8.182.214:7878/udp/239.76.254.53:9000
CCTV-电视指南,http://175.8.182.214:7878/udp/239.76.254.61:9000
凤凰中文,http://175.8.182.214:7878/udp/239.76.253.134:9000
凤凰资讯,http://175.8.182.214:7878/udp/239.76.253.135:9000
北京卫视,http://175.8.182.214:7878/udp/239.76.253.184:9000
北京卫视4K超高清,http://175.8.182.214:7878/udp/239.76.253.246:9000
试播4K超高清,http://175.8.182.214:7878/udp/239.76.253.214:9000
三沙卫视,http://175.8.182.214:7878/udp/239.76.253.74:9000
东方卫视,http://175.8.182.214:7878/udp/239.76.253.186:9000
吉林卫视,http://175.8.182.214:7878/udp/239.76.253.201:9000
四川卫视,http://175.8.182.214:7878/udp/239.76.253.91:9000
天津卫视,http://175.8.182.214:7878/udp/239.76.253.185:9000
山东卫视,http://175.8.182.214:7878/udp/239.76.253.195:9000
江苏卫视,http://175.8.182.214:7878/udp/239.76.253.181:9000
河南卫视,http://175.8.182.214:7878/udp/239.76.253.202:9000
浙江卫视,http://175.8.182.214:7878/udp/239.76.253.182:9000
海南卫视,http://175.8.182.214:7878/udp/239.76.253.203:9000
深圳卫视,http://175.8.182.214:7878/udp/239.76.253.188:9000
湖北卫视,http://175.8.182.214:7878/udp/239.76.253.193:9000
甘肃卫视,http://175.8.182.214:7878/udp/239.76.253.94:9000
重庆卫视,http://175.8.182.214:7878/udp/239.76.253.92:9000
广东卫视,http://175.8.182.214:7878/udp/239.76.252.189:9000
河北卫视,http://175.8.182.214:7878/udp/239.76.252.199:9000
安徽卫视,http://175.8.182.214:7878/udp/239.76.252.196:9000
天津卫视,http://175.8.182.214:7878/udp/239.76.251.92:9000
江苏卫视,http://175.8.182.214:7878/udp/239.76.251.89:9000
江西卫视,http://175.8.182.214:7878/udp/239.76.252.225:9000
东南卫视,http://175.8.182.214:7878/udp/239.76.252.190:9000
辽宁卫视,http://175.8.182.214:7878/udp/239.76.252.197:9000
贵州卫视,http://175.8.182.214:7878/udp/239.76.252.198:9000
黑龙江卫视,http://175.8.182.214:7878/udp/239.76.253.200:9000
云南卫视,http://175.8.182.214:7878/udp/239.76.254.60:9000
广西卫视,http://175.8.182.214:7878/udp/239.76.254.54:9000
陕西卫视,http://175.8.182.214:7878/udp/239.76.254.76:9000
青海卫视,http://175.8.182.214:7878/udp/239.76.254.132:9000



安徽电信,#genre#
CCTV-1综合,http://114.107.45.107:8188/rtp/238.1.78.166:7200
CCTV-2财经,http://114.107.45.107:8188/rtp/238.1.78.235:7752
CCTV-3综艺,http://114.107.45.107:8188/rtp/238.1.78.170:7232
CCTV-4中文国际,http://114.107.45.107:8188/rtp/238.1.78.236:7760
CCTV-5体育,http://114.107.45.107:8188/rtp/238.1.78.171:7240
CCTV-6电影,http://114.107.45.107:8188/rtp/238.1.78.172:7248
CCTV-7国防军事,http://114.107.45.107:8188/rtp/238.1.78.239:7784
CCTV-8电视剧,http://114.107.45.107:8188/rtp/238.1.78.173:7256
CCTV-9纪录,http://114.107.45.107:8188/rtp/238.1.78.240:7792
CCTV-10科教,http://114.107.45.107:8188/rtp/238.1.78.241:7800
CCTV-11戏曲,http://114.107.45.107:8188/rtp/238.1.78.206:7502
CCTV-12社会与法,http://114.107.45.107:8188/rtp/238.1.78.242:7808
CCTV-13新闻,http://114.107.45.107:8188/rtp/238.1.79.35:4392
CCTV-14少儿,http://114.107.45.107:8188/rtp/238.1.78.243:7816
CCTV-15音乐,http://114.107.45.107:8188/rtp/238.1.78.222:7648
CCTV-17农业农村,http://114.107.45.107:8188/rtp/238.1.78.178:7296
CCTV-5+体育赛事,http://114.107.45.107:8188/rtp/238.1.78.237:7768
